Caso,Coste obtenido,Desv,Tiempo (s)
MDG-a_1_n500_m50,7652.61,2.31,0.016814
MDG-a_2_n500_m50,7594.54,2.28,0.017536
MDG-a_3_n500_m50,7609.11,1.94,0.017072
MDG-a_4_n500_m50,7595.04,2.25,0.016683
MDG-a_5_n500_m50,7569.35,2.4,0.016891
MDG-a_6_n500_m50,7640.05,1.72,0.01682
MDG-a_7_n500_m50,7627.97,1.85,0.01699
MDG-a_8_n500_m50,7626.51,1.6,0.016762
MDG-a_9_n500_m50,7644.04,1.62,0.016843
MDG-a_10_n500_m50,7607.76,2.22,0.016775
MDG-b_21_n2000_m200,10992646.684172,2.72,0.188707
MDG-b_22_n2000_m200,11008491.957505,2.47,0.206581
MDG-b_23_n2000_m200,10996482.095115,2.69,0.202149
MDG-b_24_n2000_m200,10985954.662907,2.7,0.199789
MDG-b_25_n2000_m200,11048174.607814,2.19,0.192322
MDG-b_26_n2000_m200,11018675.18979,2.42,0.191056
MDG-b_27_n2000_m200,11012434.128481,2.59,0.180776
MDG-b_28_n2000_m200,10983708.101072,2.63,0.180872
MDG-b_29_n2000_m200,10990956.494922,2.71,0.181083
MDG-b_30_n2000_m200,11004898.284888,2.58,0.181337
MDG-c_1_n3000_m300,24240331,2.59,0.338768
MDG-c_2_n3000_m300,24268957,2.56,0.340644
MDG-c_8_n3000_m400,42470830,2.22,0.419749
MDG-c_9_n3000_m400,42447268,2.28,0.418926
MDG-c_10_n3000_m400,42462343,2.33,0.419439
MDG-c_13_n3000_m500,65814180,1.79,0.493883
MDG-c_14_n3000_m500,65784136,1.78,0.492989
MDG-c_15_n3000_m500,65787442,1.8,0.493035
MDG-c_19_n3000_m600,94068914,1.64,0.556569
MDG-c_20_n3000_m600,94005467,1.71,0.555894
