File,Diversity,Time
MDG-a_1_n500_m50,7499.7,1.925836
MDG-a_2_n500_m50,7507.96,1.943304
MDG-a_3_n500_m50,7537.63,1.957983
MDG-a_4_n500_m50,7646.03,1.926846
MDG-a_5_n500_m50,7577.33,1.942608
MDG-a_6_n500_m50,7533.03,1.934613
MDG-a_7_n500_m50,7627.8,1.925517
MDG-a_8_n500_m50,7621.37,1.929454
MDG-a_9_n500_m50,7581.98,1.937019
MDG-a_10_n500_m50,7591.91,1.988036
MDG-b_21_n2000_m200,10971888.149454,28.643575
MDG-b_22_n2000_m200,11027565.453894,28.229621
MDG-b_23_n2000_m200,10984557.930365,28.259755
MDG-b_24_n2000_m200,11019573.82926,28.206778
MDG-b_25_n2000_m200,11031909.811213,28.188983
MDG-b_26_n2000_m200,10972375.024121,28.235294
MDG-b_27_n2000_m200,11019671.669981,29.779949
MDG-b_28_n2000_m200,11003349.24807,28.305121
MDG-b_29_n2000_m200,10984303.49364,28.312105
MDG-b_30_n2000_m200,11018900.201837,28.268545
MDG-c_1_n3000_m300,24257830.0,79.378184
MDG-c_2_n3000_m300,24288993.0,80.020735
MDG-c_8_n3000_m400,42566989.0,122.195934
MDG-c_9_n3000_m400,42606289.0,123.499277
MDG-c_10_n3000_m400,42579055.0,123.454948
MDG-c_13_n3000_m500,65940834.0,162.591331
MDG-c_14_n3000_m500,65888399.0,160.209596
MDG-c_15_n3000_m500,65949859.0,159.929673
MDG-c_19_n3000_m600,94208266.0,198.198681
MDG-c_20_n3000_m600,94167554.0,198.774549
