File,Diversity,Time
MDG-a_1_n500_m50,7524.33,1.930193
MDG-a_2_n500_m50,7568.98,1.939586
MDG-a_3_n500_m50,7541.52,1.945953
MDG-a_4_n500_m50,7521.62,1.923407
MDG-a_5_n500_m50,7539.26,1.952541
MDG-a_6_n500_m50,7538.96,1.938942
MDG-a_7_n500_m50,7450.6,1.937036
MDG-a_8_n500_m50,7564.71,1.939857
MDG-a_9_n500_m50,7603.57,1.930254
MDG-a_10_n500_m50,7544.26,2.016837
MDG-b_21_n2000_m200,10992775.091951,27.771752
MDG-b_22_n2000_m200,10976004.218225,27.515051
MDG-b_23_n2000_m200,11010381.091843,27.593846
MDG-b_24_n2000_m200,11004690.027815,27.324046
MDG-b_25_n2000_m200,11050334.301811,27.377645
MDG-b_26_n2000_m200,11009755.0324,27.681516
MDG-b_27_n2000_m200,10973671.631925,27.388455
MDG-b_28_n2000_m200,11007899.484688,27.441754
MDG-b_29_n2000_m200,10965254.29057,27.687189
MDG-b_30_n2000_m200,10969766.811796,27.704564
MDG-c_1_n3000_m300,24234790.0,81.964096
MDG-c_2_n3000_m300,24291889.0,81.279382
MDG-c_8_n3000_m400,42565620.0,122.55461
MDG-c_9_n3000_m400,42575671.0,124.047167
MDG-c_10_n3000_m400,42429806.0,125.035444
MDG-c_13_n3000_m500,65814139.0,157.365497
MDG-c_14_n3000_m500,65837578.0,158.397447
MDG-c_15_n3000_m500,65882485.0,157.807931
MDG-c_19_n3000_m600,94069575.0,193.966365
MDG-c_20_n3000_m600,94140624.0,192.747059
