File,Diversity,Time
MDG-a_1_n500_m50,7709.93,0.005129
MDG-a_2_n500_m50,7724.48,0.005343
MDG-a_3_n500_m50,7700.95,0.005078
MDG-a_4_n500_m50,7698.72,0.004678
MDG-a_5_n500_m50,7675.08,0.006102
MDG-a_6_n500_m50,7724.5,0.005495
MDG-a_7_n500_m50,7684.35,0.004953
MDG-a_8_n500_m50,7636.8,0.004403
MDG-a_9_n500_m50,7588.69,0.005563
MDG-a_10_n500_m50,7639.14,0.004876
MDG-b_21_n2000_m200,11246174.943997,0.269707
MDG-b_22_n2000_m200,11234217.903533,0.278535
MDG-b_23_n2000_m200,11265404.407986,0.273283
MDG-b_24_n2000_m200,11235595.316972,0.273375
MDG-b_25_n2000_m200,11238488.875162,0.261224
MDG-b_26_n2000_m200,11222485.977794,0.259565
MDG-b_27_n2000_m200,11270651.986493,0.263191
MDG-b_28_n2000_m200,11206855.439177,0.266459
MDG-b_29_n2000_m200,11232129.73934,0.274404
MDG-b_30_n2000_m200,11221257.950393,0.26439
MDG-c_1_n3000_m300,24799202.0,0.871884
MDG-c_2_n3000_m300,24768855.0,0.860499
MDG-c_8_n3000_m400,43289507.0,1.859496
MDG-c_9_n3000_m400,43310665.0,1.911291
MDG-c_10_n3000_m400,43295479.0,1.921503
MDG-c_13_n3000_m500,66746057.0,3.330419
MDG-c_14_n3000_m500,66829831.0,3.3395
MDG-c_15_n3000_m500,66888838.0,3.252353
MDG-c_19_n3000_m600,95338561.0,5.134246
MDG-c_20_n3000_m600,95405963.0,5.038516
